2018-05-29 10:01:53.335909,2018-05-29 07:33:00,
2018-05-29 10:21:13.888964,2018-05-29 07:33:00,
2018-05-29 10:51:14.273598,2018-05-29 10:32:00,
2018-05-29 11:21:15.747166,2018-05-29 10:32:00,
2018-05-29 11:51:15.951549,2018-05-29 10:32:00,
2018-05-29 12:21:16.364193,2018-05-29 10:32:00,
2018-05-29 12:51:16.666283,2018-05-29 10:32:00,
2018-05-29 13:21:17.083401,2018-05-29 10:32:00,
2018-05-29 13:51:17.421650,2018-05-29 13:33:00,
2018-05-29 14:21:17.816071,2018-05-29 13:33:00,
2018-05-29 14:51:18.083928,2018-05-29 13:33:00,
2018-05-29 15:21:24.141195,2018-05-29 13:33:00,
2018-05-29 15:51:24.289696,2018-05-29 13:33:00,
2018-05-29 16:21:29.541881,2018-05-29 13:33:00,
2018-05-29 16:51:30.452074,2018-05-29 16:32:00,
2018-05-29 17:21:30.648125,2018-05-29 16:32:00,
2018-05-29 17:51:31.018418,2018-05-29 16:32:00,
2018-05-29 18:21:32.603180,2018-05-29 16:32:00,
2018-05-29 18:51:32.977395,2018-05-29 16:32:00,
2018-05-29 19:21:34.772317,2018-05-29 16:32:00,
2018-05-29 19:51:34.968035,2018-05-29 19:32:00,
2018-05-29 20:21:35.178839,2018-05-29 19:32:00,
2018-05-29 20:51:36.073880,2018-05-29 19:32:00,
2018-05-29 21:21:36.467848,2018-05-29 19:32:00,
2018-05-29 21:51:36.643767,2018-05-29 19:32:00,
2018-05-29 22:21:37.312823,2018-05-29 19:32:00,
2018-05-29 22:51:37.691307,2018-05-29 22:35:00,
2018-05-29 23:21:38.106881,2018-05-29 22:35:00,
2018-05-29 23:51:38.395144,2018-05-29 22:35:00,
2018-05-30 00:21:38.725945,2018-05-29 22:35:00,
2018-05-30 00:51:38.958412,2018-05-29 22:35:00,
2018-05-30 01:21:39.196750,2018-05-29 22:35:00,
2018-05-30 01:51:39.542833,2018-05-30 01:33:00,
2018-05-30 02:21:39.826055,2018-05-30 01:33:00,
2018-05-30 02:51:40.072484,2018-05-30 01:33:00,
2018-05-30 03:21:40.444627,2018-05-30 01:33:00,
2018-05-30 03:51:41.095387,2018-05-30 01:33:00,
2018-05-30 04:21:41.533219,2018-05-30 01:33:00,
2018-05-30 04:51:41.978460,2018-05-30 04:32:00,
2018-05-30 05:21:42.425101,2018-05-30 04:32:00,
2018-05-30 05:51:42.823905,2018-05-30 04:32:00,
2018-05-30 06:21:43.177051,2018-05-30 04:32:00,
